id, anime_id, anime, character_id, character, cv_id, cv
1, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
2, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
3, 1, 請問您今天要來點兔子嗎？, 3, 天天座理世, 3, 種田梨沙
4, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
5, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
6, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
7, 1, 請問您今天要來點兔子嗎？, 6, 提比, 6, 清川元夢
8, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
9, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
10, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
11, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
12, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
13, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
14, 1, 請問您今天要來點兔子嗎？, 3, 天天座理世, 3, 種田梨沙
15, 1, 請問您今天要來點兔子嗎？, 3, 天天座理世, 3, 種田梨沙
16, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
17, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
18, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
19, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
20, 1, 請問您今天要來點兔子嗎？, 3, 天天座理世, 3, 種田梨沙
21, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
22, 1, 請問您今天要來點兔子嗎？, 3, 天天座理世, 3, 種田梨沙
23, 1, 請問您今天要來點兔子嗎？, 7, 條河麻耶, 9, 徳井青空
24, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
25, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
26, 1, 請問您今天要來點兔子嗎？, 8, 青山翠, 10, 早見沙織
27, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
28, 1, 請問您今天要來點兔子嗎？, 8, 青山翠, 10, 早見沙織
29, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
30, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
31, 1, 請問您今天要來點兔子嗎？, 8, 青山翠, 10, 早見沙織
32, 1, 請問您今天要來點兔子嗎？, 9, 香風隆宏, 11, 速水奨
33, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
34, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
35, 1, 請問您今天要來點兔子嗎？, 4, 宇治松千夜, 4, 佐藤聡美
36, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
37, 1, 請問您今天要來點兔子嗎？, 7, 條河麻耶, 9, 徳井青空
38, 1, 請問您今天要來點兔子嗎？, 10, 奈津惠, 12, 村川梨衣
39, 1, 請問您今天要來點兔子嗎？, 5, 桐間紗路, 5, 内田真礼
40, 1, 請問您今天要來點兔子嗎？, 9, 香風隆宏, 11, 速水奨
41, 1, 請問您今天要來點兔子嗎？, 2, 香風智乃, 2, 水瀬いのり
42, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
43, 1, 請問您今天要來點兔子嗎？, 6, 提比, 6, 清川元夢
44, 1, 請問您今天要來點兔子嗎？, 1, 保登心愛, 1, 佐倉綾音
